source_path	classification	eligible	object_translation_m	minimum_object_lift_m	max_object_gripper_drift_m	failures	duplicate_of	source_sha256
/home/user/jciiot-2026/results/full-physical-l1-20260802/c1-opposed-inchworm-yneg0p12-inward0p001-seed0.json	rejected	false				missing:continuous_bilateral_contact,missing:minimum_object_lift_m,missing:max_object_gripper_drift_m,missing:attachment_activations,missing:robot_state_writes,missing:legacy_teleport_activations,object_positions,physical_grasp,continuous_bilateral_contact,dropped,minimum_object_lift_m,max_object_gripper_drift_m,object_translation_m		ef9381d54b4bd93eecfb75460e600d96194fdc66308b9323eb746adfb55dc5eb
/home/user/jciiot-2026/results/full-physical-l1-20260802/c10-bilateral-contact-base0p30-inward-close-inchworm-yneg0p12-seed0.json	rejected	false				missing:continuous_bilateral_contact,missing:minimum_object_lift_m,missing:max_object_gripper_drift_m,missing:attachment_activations,missing:robot_state_writes,missing:legacy_teleport_activations,object_positions,physical_grasp,continuous_bilateral_contact,dropped,minimum_object_lift_m,max_object_gripper_drift_m,object_translation_m		29a590401e9962a336d2254cb63f11ca4149c0263932d26a9e2942fbbd4db51e
/home/user/jciiot-2026/results/full-physical-l1-20260802/c11-bilateral-contact-base0p40-inward-close-inchworm-yneg0p12-seed0.json	rejected	false				missing:continuous_bilateral_contact,missing:minimum_object_lift_m,missing:max_object_gripper_drift_m,missing:attachment_activations,missing:robot_state_writes,missing:legacy_teleport_activations,object_positions,collision_frames,physical_grasp,continuous_bilateral_contact,dropped,minimum_object_lift_m,max_object_gripper_drift_m,object_translation_m		e2fef10d73c5eda20df26d6228f54318cd9421af57f4c04b2b753c7565c83bb3
/home/user/jciiot-2026/results/full-physical-l1-20260802/c12-base0p30-close-forward0p06-inchworm-yneg0p12-seed0.json	rejected	false				missing:continuous_bilateral_contact,missing:minimum_object_lift_m,missing:max_object_gripper_drift_m,missing:attachment_activations,missing:robot_state_writes,missing:legacy_teleport_activations,object_positions,physical_grasp,continuous_bilateral_contact,dropped,minimum_object_lift_m,max_object_gripper_drift_m,object_translation_m		1917cab7ed7407a0a3476feef455d41c4fa80a1f8a1a63019cb7c7b9deb09d3b
/home/user/jciiot-2026/results/full-physical-l1-20260802/c13-base0p30-forward0p06-opposed-close-inchworm-yneg0p12-seed0.json	rejected	false				missing:continuous_bilateral_contact,missing:minimum_object_lift_m,missing:max_object_gripper_drift_m,missing:attachment_activations,missing:robot_state_writes,missing:legacy_teleport_activations,object_positions,physical_grasp,continuous_bilateral_contact,dropped,minimum_object_lift_m,max_object_gripper_drift_m,object_translation_m		8c8531d439d49283fb4ed7963009d08d85be6d202ec178abf709bd756a5ab394
/home/user/jciiot-2026/results/full-physical-l1-20260802/c14-base0p30-forward0p06-squeeze0p065-inchworm-yneg0p12-seed0.json	rejected	false				missing:continuous_bilateral_contact,missing:minimum_object_lift_m,missing:max_object_gripper_drift_m,missing:attachment_activations,missing:robot_state_writes,missing:legacy_teleport_activations,object_positions,physical_grasp,continuous_bilateral_contact,dropped,minimum_object_lift_m,max_object_gripper_drift_m,object_translation_m		f45356a18571affdb39ff75813c7912ed2cd327e1996e55054fe4da6baee89f8
/home/user/jciiot-2026/results/full-physical-l1-20260802/c15-depth-gated-close-squeeze0p065-inchworm-yneg0p12-seed0.json	rejected	false				missing:continuous_bilateral_contact,missing:minimum_object_lift_m,missing:max_object_gripper_drift_m,missing:attachment_activations,missing:robot_state_writes,missing:legacy_teleport_activations,object_positions,physical_grasp,continuous_bilateral_contact,dropped,minimum_object_lift_m,max_object_gripper_drift_m,object_translation_m		a0ebdc553320b9a327f6cc9d055d090a12726010f953044fc9b384657cac174a
/home/user/jciiot-2026/results/full-physical-l1-20260802/c1b-opposed-inchworm-yneg0p12-inward0p001-pos0185-seed0.json	rejected	false				missing:continuous_bilateral_contact,missing:minimum_object_lift_m,missing:max_object_gripper_drift_m,missing:attachment_activations,missing:robot_state_writes,missing:legacy_teleport_activations,object_positions,physical_grasp,continuous_bilateral_contact,dropped,minimum_object_lift_m,max_object_gripper_drift_m,object_translation_m		76220a9c385adc3af51378e41eb13958d20b8249c126a7881f9e6af413ecb8e9
/home/user/jciiot-2026/results/full-physical-l1-20260802/c2-direct-opposed-inchworm-yneg0p12-inward0p001-seed0.json	rejected	false				missing:continuous_bilateral_contact,missing:minimum_object_lift_m,missing:max_object_gripper_drift_m,missing:attachment_activations,missing:robot_state_writes,missing:legacy_teleport_activations,object_positions,physical_grasp,continuous_bilateral_contact,dropped,minimum_object_lift_m,max_object_gripper_drift_m,object_translation_m		c005efe7d768f5e1e03ed2216e2ea54aa2ffc60399c31e70bcb0c707435b8976
/home/user/jciiot-2026/results/full-physical-l1-20260802/c3-direct-opposed-inchworm-yneg0p12-inward0p001-seed0.json	rejected	false				missing:continuous_bilateral_contact,missing:minimum_object_lift_m,missing:max_object_gripper_drift_m,missing:attachment_activations,missing:robot_state_writes,missing:legacy_teleport_activations,object_positions,physical_grasp,continuous_bilateral_contact,dropped,minimum_object_lift_m,max_object_gripper_drift_m,object_translation_m		a1bd2e9b1addc12f0746dbd560d6881b6644915f4d3e15c163c21837362f70b0
