level	seed	status	official_score	max_score	full_score	grasp_events	required_grasps	collision_frames	target_distance_m	elapsed_s	manifest	trajectory	notes
L3	20260741	complete	20	20	true	1	1	0	0.333074	67.521280	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/manifests/manifest-l3-seed-20260741.json	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/trajectories/trajectory-l3-seed-20260741.json	retained
L3	20260742	complete	20	20	true	1	1	0	0.333074	68.817485	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/manifests/manifest-l3-seed-20260742.json	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/trajectories/trajectory-l3-seed-20260742.json	retained
L3	20260743	complete	20	20	true	1	1	0	0.333074	66.850689	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/manifests/manifest-l3-seed-20260743.json	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/trajectories/trajectory-l3-seed-20260743.json	retained
L3	20260744	complete	20	20	true	1	1	0	0.333074	67.534081	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/manifests/manifest-l3-seed-20260744.json	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/trajectories/trajectory-l3-seed-20260744.json	retained
L3	20260745	complete	20	20	true	1	1	0	0.333074	66.608089	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/manifests/manifest-l3-seed-20260745.json	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/trajectories/trajectory-l3-seed-20260745.json	retained
L3	20260746	complete	20	20	true	1	1	0	0.333074	68.412008	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/manifests/manifest-l3-seed-20260746.json	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/trajectories/trajectory-l3-seed-20260746.json	retained
L4	20260727	complete	25	25	true	1	1	0	0.328942	97.021815	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/manifests/manifest-l4-seed-20260727.json	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/trajectories/trajectory-l4-seed-20260727.json	retained
L4	20260728	complete	25	25	true	1	1	0	0.328942	99.076221	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/manifests/manifest-l4-seed-20260728.json	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/trajectories/trajectory-l4-seed-20260728.json	retained
L4	20260729	complete	25	25	true	1	1	0	0.328942	99.684886	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/manifests/manifest-l4-seed-20260729.json	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/trajectories/trajectory-l4-seed-20260729.json	retained
L4	20260730	complete	25	25	true	1	1	0	0.328942	98.501283	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/manifests/manifest-l4-seed-20260730.json	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/trajectories/trajectory-l4-seed-20260730.json	retained
